word	when	label	sentences
@united	1 Before	High Intensity Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
to	1 Before	Not a Complaint	RT @Lufthansa_FCT: Hanging out with my new friend #Polaris from @united on #WellnessWednesday :-) https://t.co/UXp6jHILhp
RT	1 Before	High Intensity Complaint	Dear @united	 Madyson in State College	 PA is a real MVP. Thank you!
the	1 Before	Not a Complaint	@united @32432tee Philly’s a good town.
a	1 Before	Not a Complaint	@united Thanks so much . I would have to fly to NJ which by New York on United next summer.
you	1 Before	Not a Complaint	@united Thanks so much . I would have to fly to NJ which by New York on United next summer.
and	1 Before	General Negative Complaint	@united not so sure...flight scheduled for 6:10am	 and it's now past noon. they even boarded an 11:15 flight (4828) before ours...
I	1 Before	High Intensity Complaint	@united I dont understand why you're continuing to question me instead helping. I was a customer. You broke my suitcase. I need assistance.
on	1 Before	High Intensity Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
in	1 Before	Low Intensity Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
is	1 Before	Not a Complaint	RT @HAJ_Spotting: Watch my new Video: @United @Boeing #777 landing @Airport_FRA #avgeek #aviation https://t.co/8YsTpceAbQ
for	1 Before	General Negative Complaint	RT @NYJJIM: Another @united flight delay. 30+ min sitting onboard at gate	 yet your site says departed. Is this how you boost your on time…
of	1 Before	High Intensity Complaint	@united we are now in Houston which is NOT baltimore. Food vouchers will not silence us	 we want justice
your	1 Before	High Intensity Complaint	I will NEVER fly @united again. Delayed flight after delayed flight and the "compensation" they offered me was a complete lie. Sad!
@United	1 Before	General Negative Complaint	@united UA994	 and my flight from EWR to SFO UA814 delayed by 3+ hours.
flight	1 Before	Not a Complaint	Dear #united please turn the heat down in Newark's A terminal @united
they	1 Before	General Negative Complaint	@united Your shot is there	 but ONLY if you actually do what you're supposed to and get in the air https://t.co/liJvBxy7tM
this	1 Before	High Intensity Complaint	Want to create content that soars? Then check out our latest Q&A featuring Ryan Bujeker of @united https://t.co/9jlvbsbvJR https://t.co/evpehgLixM
with	1 Before	General Negative Complaint	@united Second delayed flight this week. UA425 Operational Difficulties. https://t.co/vrdcbuUGgM
that	1 Before	Not a Complaint	@united do you status match Virgin America?
my	1 Before	General Negative Complaint	RT @xLauren_Mx: Do NOT fly your dogs if you can avoid it	 and especially not with @united. I definitely would not trust them with m…
are	1 Before	Not a Complaint	@united Can't wait to have my first flight with u from Dublin to New York next summer . Yay !!!!!!!!!! Can i take photos on board ? 🇺🇸🇺🇸🇺🇸🇺🇸
